id,name,averageIncomeBorough,logoLink
1,Barking and Dagenham,31947,https://upload.wikimedia.org/wikipedia/en/3/35/LB_Barking_and_Dagenham.svg
2,Barnet,36681,https://upload.wikimedia.org/wikipedia/en/6/62/LB_Barnet_logo.svg
3,Bexley,33930,https://upload.wikimedia.org/wikipedia/en/8/88/Lb_bexley_logo.svg
4,Brent,35860,https://upload.wikimedia.org/wikipedia/en/b/b5/Brent_London_Borough_Council_logo.png
5,Bromley,34455,https://upload.wikimedia.org/wikipedia/en/6/63/Lb_bromley.svg
6,Camden,46044,https://upload.wikimedia.org/wikipedia/en/5/57/Lb_camden_logo.svg
7,Croydon,35942,https://upload.wikimedia.org/wikipedia/en/f/f9/Lb_croydon_logo.svg
8,Ealing,36081,https://upload.wikimedia.org/wikipedia/en/7/74/Lb_ealing_logo.svg
9,Enfield,33576,https://upload.wikimedia.org/wikipedia/en/b/b5/Lb_enfield_logo.svg
10,Greenwich,35648,https://upload.wikimedia.org/wikipedia/en/b/b1/LondonBoroughOfGreenwichLogo.PNG
11,Hackney,42457,https://upload.wikimedia.org/wikipedia/en/9/90/Lb_hackney_logo.svg
12,Hammersmith and Fulham,45080,https://upload.wikimedia.org/wikipedia/en/8/84/HandF_logo.gif
13,Haringey,35776,https://upload.wikimedia.org/wikipedia/en/1/15/LBHaringey_logo.svg
14,Harrow,40703,https://upload.wikimedia.org/wikipedia/en/0/08/Lb_harrow_logo.svg
15,Havering,33415,https://upload.wikimedia.org/wikipedia/en/d/d4/Lb_havering_logo.svg
16,Hillingdon,41177,https://upload.wikimedia.org/wikipedia/en/0/07/Lb_hillingdon_logo.svg
17,Hounslow,42990,https://upload.wikimedia.org/wikipedia/en/4/4a/Lb_hounslow_logo.svg
18,Islington,52689,https://upload.wikimedia.org/wikipedia/en/d/d0/Lb_islington_logo.svg
19,Kensington and Chelsea,38761,https://upload.wikimedia.org/wikipedia/en/9/92/Rb_kensington_and_chelsea_logo.svg
20,Kingston upon Thames,36301,https://upload.wikimedia.org/wikipedia/en/a/ac/RB_Kingston_upon_Thames.svg
21,Lambeth,40749,https://upload.wikimedia.org/wikipedia/en/d/d8/Lb_lambeth_logo.svg
22,Lewisham,35536,https://upload.wikimedia.org/wikipedia/en/f/fd/Lb_lewisham_logo.svg
23,Merton,36074,https://upload.wikimedia.org/wikipedia/en/1/11/Lb_merton_logo.svg
24,Newham,38481,https://upload.wikimedia.org/wikipedia/en/5/51/Lb_newham_logo.svg
25,Redbridge,32818,https://upload.wikimedia.org/wikipedia/en/e/e5/LBRedbridge_logo.png
26,Richmond upon Thames,39401,https://upload.wikimedia.org/wikipedia/en/9/9e/Lb_richmond_logo.svg
27,Southwark,43966,https://upload.wikimedia.org/wikipedia/en/a/ad/Lb_southwark_logo.svg
28,Sutton,34796,https://upload.wikimedia.org/wikipedia/en/a/aa/Lb_sutton_logo.svg
29,Tower Hamlets,75240,https://upload.wikimedia.org/wikipedia/en/9/9f/Lb_tower_hamlets.svg
30,Waltham Forest,31045,https://upload.wikimedia.org/wikipedia/en/7/70/Lb_waltham_forest_logo.svg
31,Wandsworth,39834,https://upload.wikimedia.org/wikipedia/en/f/f2/Lb_wandsworth_logo.svg
32,Westminster,60071,https://upload.wikimedia.org/wikipedia/en/a/a2/City_of_westminster_logo.svg
33,City of London,80618,https://upload.wikimedia.org/wikipedia/commons/2/20/Coat_of_Arms_of_The_City_of_London.svg
