id,name,averageIncomeBorough,logoLink,health,happiness,education
1,Barking and Dagenham,31947,https://upload.wikimedia.org/wikipedia/en/3/35/LB_Barking_and_Dagenham.svg,6.6,7.38,43.1
2,Barnet,36681,https://upload.wikimedia.org/wikipedia/en/6/62/LB_Barnet_logo.svg,9.1,7.63,60.3
3,Bexley,33930,https://upload.wikimedia.org/wikipedia/en/8/88/Lb_bexley_logo.svg,10.7,7.45,49.9
4,Brent,35860,https://assets.londonist.com/uploads/2016/12/i730/brent.jpg,10.5,7.59,49.8
5,Bromley,34455,https://upload.wikimedia.org/wikipedia/en/6/63/Lb_bromley.svg,11.3,7.34,47.6
6,Camden,46044,https://upload.wikimedia.org/wikipedia/en/5/57/Lb_camden_logo.svg,12.2,7.35,48.3
7,Croydon,35942,https://upload.wikimedia.org/wikipedia/en/f/f9/Lb_croydon_logo.svg,9.3,7.61,40.6
8,Ealing,36081,https://upload.wikimedia.org/wikipedia/en/7/74/Lb_ealing_logo.svg,10.1,7.35,50.7
9,Enfield,33576,https://upload.wikimedia.org/wikipedia/en/b/b5/Lb_enfield_logo.svg,10.3,7.23,42.6
10,Greenwich,35648,https://upload.wikimedia.org/wikipedia/en/b/b1/LondonBoroughOfGreenwichLogo.PNG,7.8,7.27,41.6
11,Hackney,42457,https://upload.wikimedia.org/wikipedia/en/9/90/Lb_hackney_logo.svg,7.8,7.1,44.7
12,Hammersmith and Fulham,45080,https://tsip.co.uk/images/clients/hammersmith-and-fulham-1000.png,9.5,7.43,52.9
13,Haringey,35776,https://upload.wikimedia.org/wikipedia/en/1/15/LBHaringey_logo.svg,10.9,7.38,43.6
14,Harrow,40703,https://upload.wikimedia.org/wikipedia/en/0/08/Lb_harrow_logo.svg,9.3,7.72,50
15,Havering,33415,https://upload.wikimedia.org/wikipedia/en/d/d4/Lb_havering_logo.svg,11.3,7.44,46.6
16,Hillingdon,41177,https://upload.wikimedia.org/wikipedia/en/0/07/Lb_hillingdon_logo.svg,11.2,7.36,45.3
17,Hounslow,42990,https://upload.wikimedia.org/wikipedia/en/4/4a/Lb_hounslow_logo.svg,9.3,7.91,46.7
18,Islington,52689,https://upload.wikimedia.org/wikipedia/en/d/d0/Lb_islington_logo.svg,7.8,7.31,43.9
19,Kensington and Chelsea,38761,https://upload.wikimedia.org/wikipedia/en/9/92/Rb_kensington_and_chelsea_logo.svg,10.8,7.52,57.4
20,Kingston upon Thames,36301,https://upload.wikimedia.org/wikipedia/en/a/ac/RB_Kingston_upon_Thames.svg,16,7.58,61.3
21,Lambeth,40749,https://upload.wikimedia.org/wikipedia/en/d/d8/Lb_lambeth_logo.svg,7.8,7.21,39.3
22,Lewisham,35536,https://upload.wikimedia.org/wikipedia/en/f/fd/Lb_lewisham_logo.svg,10.5,7.25,37.9
23,Merton,36074,https://upload.wikimedia.org/wikipedia/en/1/11/Lb_merton_logo.svg,9,7.66,49.2
24,Newham,38481,https://upload.wikimedia.org/wikipedia/en/5/51/Lb_newham_logo.svg,12.4,7.54,45.8
25,Redbridge,32818,https://www.orsgroup.com/wp-content/uploads/2017/07/redbridge-trans.png,9.8,7.53,55.8
26,Richmond upon Thames,39401,https://upload.wikimedia.org/wikipedia/en/9/9e/Lb_richmond_logo.svg,12.7,7.58,57.7
27,Southwark,43966,https://upload.wikimedia.org/wikipedia/en/a/ad/Lb_southwark_logo.svg,7.8,7.33,47.8
28,Sutton,34796,https://upload.wikimedia.org/wikipedia/en/a/aa/Lb_sutton_logo.svg,10.3,7.54,61.3
29,Tower Hamlets,75240,https://upload.wikimedia.org/wikipedia/en/9/9f/Lb_tower_hamlets.svg,11.9,7.55,44.3
30,Waltham Forest,31045,https://upload.wikimedia.org/wikipedia/en/7/70/Lb_waltham_forest_logo.svg,7.8,7.62,41.4
31,Wandsworth,39834,https://upload.wikimedia.org/wikipedia/en/f/f2/Lb_wandsworth_logo.svg,8.4,7.55,50.6
32,Westminster,60071,https://upload.wikimedia.org/wikipedia/en/a/a2/City_of_westminster_logo.svg,9.6,7.56,55.4
33,City of London,80618,https://upload.wikimedia.org/wikipedia/commons/2/20/Coat_of_Arms_of_The_City_of_London.svg,,,
